y,番号,レベル1,レベル2,レベル3,レベル4,レベル5,レベル6,レベル7,レベル8,レベル9,レベル10
Armor,101,防御が1アップ,防御が2アップ,防御が3アップ,0,0,0,0,0,0,0
FreeMind,102,クリティカル時の倍率が10％アップ,クリティカル時の倍率が15％アップ,クリティカル時の倍率が20％アップ,クリティカル時の倍率が25％アップ,クリティカル時の倍率が30％アップ,0,0,0,0,0
WideAmulet,103,武器の大きさが5％アップ,武器の大きさが10％アップ,武器の大きさが15％アップ,武器の大きさが20％アップ,武器の大きさが25％アップ,0,0,0,0,0
KnowledgeBook,104,取得経験値量が20％アップ,取得経験値量が40％アップ,取得経験値量が60％アップ,取得経験値量が80％アップ,取得経験値量が100％アップ,0,0,0,0,0
HeartCream,105,最大HPの80％まで5秒ごとに3％ずつ回復,最大HPの90％まで5秒ごとに5％ずつ回復,最大HPの100％まで3秒ごとに10％ずつ回復,0,0,0,0,0,0,0
WonderCookie,106,SPDが20％アップするがATKがx0.8になる,SPDが30％アップするがATKがx0.8になる,SPDが40％アップするがATKがx0.8になる,SPDが50％アップするがATKがx0.8になる,SPDが60％アップするがATKがx0.8になる,0,0,0,0,0
MuscleSuit,107,ATKが10％アップするが、CRTがx0.7になる,ATKが30％アップするが、CRTがx0.7になる,ATKが50％アップするが、CRTがx0.7になる,0,0,0,0,0,0,0
EnergyDrink,108,HPが1になるまで3秒ごとに5%減少するがATKとヘイストが40％アップ,HPが1になるまで3秒ごとに5%減少するがATKとヘイストが60％アップ,HPが1になるまで3秒ごとに5%減少するがATKとヘイストが80％アップ,0,0,0,0,0,0,0
MagicHand,109,回収範囲が100％アップ,回収範囲が200％アップ,回収範囲が300％アップ,0,0,0,0,0,0,0
Monocle,110,CRTが10％アップ。またHPが満タンの時30％アップ,CRTが20％アップ。またHPが満タンの時50％アップ,CRTが30％アップ。またHPが満タンの時80％アップ,0,0,0,0,0,0,0
Cushion,111,3秒間停止で15秒間、ステータスのどれかが30%アップ,3秒間停止で15秒間、ステータスのどれかが40%アップ,3秒間停止で15秒間、ステータスのどれかが50%アップ,0,0,0,0,0,0,0
LifeFragment,112,最大HPが10アップ。また、HPが25％以下の時SPDが20%アップ,最大HPが15アップ。また、HPが30％以下の時SPDが50%アップ,最大HPが20アップ。また、HPが40％以下の時SPDが100%アップ,0,0,0,0,0,0,0
