防具の名前,表示名,番号,最大レベル,レベル1,レベル2,レベル3,レベル4,レベル5,レベル6,レベル7,レベル8,レベル9,レベル10
Armor,騎士の鎧,101,5,1.5,2,2.5,3,3.5,0,0,0,0,0
CriticalEye,無の心,102,5,1.1,1.15,1.2,1.25,1.3,0,0,0,0,0
WideAmulet,広域の護符,103,5,1.05,1.1,1.15,1.2,1.25,0,0,0,0,0
KnowledgeBook,知識の本,104,5,1.2,1.4,1.6,1.8,2,0,0,0,0,0
HeartCream,ハートのクリーム,105,3,0.8/10/0.03,0.9/5/0.05,1.0/3/0.1,0,0,0,0,0,0,0
WonderCookie,不思議なクッキー,106,5,1.3/0.8,1.4/0.8,1.5/0.8,1.6/0.8,2.0/0.8,0,0,0,0,0
MuscleSuit,マッスルスーツ,107,,,,,,,,,,,
EnergyDrink,エナジードリンク,108,,,,,,,,,,,
MagicHand,マジックハンド,109,,,,,,,,,,,
Monocle,集中モノクル,110,,,,,,,,,,,
Cushion,瞑想クッション,111,,,,,,,,,,,
LifeFragment,命のかけら,112,,,,,,,,,,,
