Ží—Þ,–¼‘O,ˆÊ’uX,ˆÊ’uY,ˆÊ’uZ,‰ñ“]X,‰ñ“]Y,‰ñ“]Z,‘å‚«‚³X,‘å‚«‚³Y,‘å‚«‚³Z
RADAR,Radar,0.84,0.63,0,0,0,0,1,1,1
RADAR,Player,0.84,0.63,0,0,0,0,1,1,1
RADAR,Enemy,0.84,0.63,0,0,0,0,1,1,1
LEVEL,Back,0,0,0,0,0,0,1,1,1
LEVEL,BFrame,0,0.975,0,0,0,0,1,1,1
LEVEL,Bar,-1,0.975,0,0,0,0,1,1,1
LEVEL,Cursor,0,0,0,0,0,0,1,1,1
LEVEL,LFrame,0,0,0,0,0,0,1,1,1
LEVEL,Icon,0,0,0,0,0,0,1,1,1
HP,Back,-0.57,0.91,0,0,0,0,1,1,1
HP,Gauge,-0.57,0.91,0,0,0,0,1,1,1
HP,Frame,-0.57,0.91,0,0,0,0,1,1,1
HP,Icon,-0.95,0.86,0,0,0,0,1,1,1
